Year,Name,Code,State,Population
2003,MICHIGAN,MI,26,10037303
2003,MINNESOTA,MN,27,5016643
2003,MISSISSIPPI,MS,28,2858013
2003,MISSOURI,MO,29,5675641
2003,MONTANA,MT,30,909859
2003,NEBRASKA,NE,31,1724236
2003,NEVADA,NV,32,2164518
2003,NEW HAMPSHIRE,NH,33,1270701
2003,NEW JERSEY,NJ,34,8547410
2003,NEW MEXICO,NM,35,1848986
2003,NEW YORK,NY,36,19161573
2003,NORTH CAROLINA,NC,37,8311263
2003,NORTH DAKOTA,ND,38,633521
2003,OHIO,OH,39,11410582
2003,OKLAHOMA,OK,40,3482946
2003,OREGON,OR,41,3517982
2003,PENNSYLVANIA,PA,42,12298775
2003,RHODE ISLAND,RI,44,1065937
2003,SOUTH CAROLINA,SC,45,4102211
2003,SOUTH DAKOTA,SD,46,761709
2003,TENNESSEE,TN,47,5799093
2003,TEXAS,TX,48,21713397
2003,UTAH,UT,49,2334462
2003,VERMONT,VT,50,614994
2003,VIRGINIA,VA,51,7276785
2003,WASHINGTON,WA,53,6055613
2003,WEST VIRGINIA,WV,54,1799392
2003,WISCONSIN,WI,55,5444638
2003,WYOMING,WY,56,496969
2002,ALABAMA,AL,1,4447100
2002,ALASKA,AK,2,626932
2002,ARIZONA,AZ,4,5130632
2002,ARKANSAS,AR,5,2673400
2002,CALIFORNIA,CA,6,33871648
2002,COLORADO,CO,8,4301261
2002,CONNECTICUT,CT,9,3405565
2002,DELAWARE,DE,10,783600
2002,FLORIDA,FL,12,15982378
2002,GEORGIA,GA,13,8186453
2002,HAWAII,HI,15,1211537
2002,IDAHO,ID,16,1293953
2002,ILLINOIS,IL,17,12419293
2002,INDIANA,IN,18,6080485
2002,IOWA,IA,19,2926324
2002,KANSAS,KS,20,2688418
2002,KENTUCKY,KY,21,4041769
2002,LOUISIANA,LA,22,4468976
2002,MAINE,ME,23,1274923
2002,MARYLAND,MD,24,5296486
2002,MASSACHUSETTS,MA,25,6349097
2002,MICHIGAN,MI,26,9938444
2002,MINNESOTA,MN,27,4919479
2002,MISSISSIPPI,MS,28,2844658
2002,MISSOURI,MO,29,5595211
2002,MONTANA,MT,30,902195
2002,NEBRASKA,NE,31,1711263
2002,NEVADA,NV,32,1998257
2002,NEW HAMPSHIRE,NH,33,1235786
2002,NEW JERSEY,NJ,34,8414350
2002,NEW MEXICO,NM,35,1819046
2002,NEW YORK,NY,36,18976457
2002,NORTH CAROLINA,NC,37,8049313
2002,NORTH DAKOTA,ND,38,642200
2002,OHIO,OH,39,11353140
2002,OKLAHOMA,OK,40,3450654
2002,OREGON,OR,41,3421399
2002,PENNSYLVANIA,PA,42,12281054
